Label,Frame Index,Time Stamp,Confidence
bird,902,30.07,0.81
bird,903,30.10,0.81
bird,904,30.13,0.79
bird,905,30.17,0.85
bird,906,30.20,0.84
bird,907,30.23,0.86
bird,908,30.27,0.87
bird,909,30.30,0.87
bird,910,30.33,0.83
bird,911,30.37,0.83
bird,912,30.40,0.85
bird,913,30.43,0.82
bird,914,30.47,0.81
bird,915,30.50,0.82
bird,916,30.53,0.79
bird,917,30.57,0.74
bird,918,30.60,0.83
bird,919,30.63,0.81
bird,920,30.67,0.79
bird,921,30.70,0.80
bird,922,30.73,0.84
bird,923,30.77,0.80
bird,924,30.80,0.84
bird,925,30.83,0.86
bird,926,30.87,0.86
bird,927,30.90,0.87
bird,928,30.93,0.89
bird,929,30.97,0.84
bird,930,31.00,0.79
bird,931,31.03,0.82
bird,932,31.07,0.78
bird,933,31.10,0.76
bird,934,31.13,0.77
bird,935,31.17,0.75
bird,936,31.20,0.77
bird,937,31.23,0.81
bird,938,31.27,0.82
bird,939,31.30,0.83
bird,940,31.33,0.85
bird,941,31.37,0.81
bird,942,31.40,0.74
bird,943,31.43,0.72
bird,944,31.47,0.73
bird,945,31.50,0.71
bird,946,31.53,0.73
bird,947,31.57,0.72
bird,948,31.60,0.75
bird,949,31.63,0.72
bird,950,31.67,0.76
bird,951,31.70,0.74
bird,952,31.73,0.73
bird,953,31.77,0.77
bird,954,31.80,0.80
bird,955,31.83,0.79
bird,956,31.87,0.72
bird,957,31.90,0.72
bird,958,31.93,0.76
bird,959,31.97,0.71
bird,960,32.00,0.76
bird,961,32.03,0.80
bird,962,32.07,0.81
bird,963,32.10,0.79
bird,964,32.13,0.79
bird,965,32.17,0.75
bird,966,32.20,0.72
bird,967,32.23,0.73
bird,968,32.27,0.71
bird,969,32.30,0.71
bird,970,32.33,0.70
bird,971,32.37,0.75
bird,972,32.40,0.79
bird,973,32.43,0.75
bird,974,32.47,0.74
bird,975,32.50,0.74
bird,976,32.53,0.73
bird,977,32.57,0.73
bird,978,32.60,0.74
bird,979,32.63,0.73
bird,980,32.67,0.76
bird,981,32.70,0.76
bird,982,32.73,0.77
bird,983,32.77,0.79
bird,984,32.80,0.83
bird,985,32.83,0.83
bird,986,32.87,0.82
bird,987,32.90,0.81
bird,988,32.93,0.80
bird,989,32.97,0.78
bird,990,33.00,0.80
bird,991,33.03,0.77
bird,992,33.07,0.76
bird,993,33.10,0.69
bird,994,33.13,0.76
bird,995,33.17,0.75
bird,996,33.20,0.75
bird,997,33.23,0.76
bird,998,33.27,0.78
bird,999,33.30,0.78
bird,1000,33.33,0.77
bird,1001,33.37,0.85
bird,1002,33.40,0.82
bird,1003,33.43,0.81
bird,1004,33.47,0.78
bird,1005,33.50,0.76
